2026-07-16 21:37:57 | training_carla_gru_best | INFO | Epoch 1: loss=11.2919, recon=0.9972, contrast=2.6405
2026-07-16 21:38:07 | training_carla_gru_best | INFO | Epoch 2: loss=10.2554, recon=0.9838, contrast=0.8350
2026-07-16 21:38:10 | training_carla_gru_best | INFO | Epoch 3: loss=9.5138, recon=0.9238, contrast=0.5524
2026-07-16 21:38:13 | training_carla_gru_best | INFO | Epoch 4: loss=8.4196, recon=0.8181, contrast=0.4766
2026-07-16 21:38:15 | training_carla_gru_best | INFO | Epoch 5: loss=7.6427, recon=0.7445, contrast=0.3959
2026-07-16 21:38:18 | training_carla_gru_best | INFO | Epoch 6: loss=7.0838, recon=0.6908, contrast=0.3521
2026-07-16 21:38:21 | training_carla_gru_best | INFO | Epoch 7: loss=6.5745, recon=0.6431, contrast=0.2872
2026-07-16 21:38:23 | training_carla_gru_best | INFO | Epoch 8: loss=5.8416, recon=0.5704, contrast=0.2749
2026-07-16 21:38:26 | training_carla_gru_best | INFO | Epoch 9: loss=4.5622, recon=0.4459, contrast=0.2056
2026-07-16 21:38:29 | training_carla_gru_best | INFO | Epoch 10: loss=3.0330, recon=0.2932, contrast=0.2013
2026-07-16 21:38:32 | training_carla_gru_best | INFO | Epoch 11: loss=2.2305, recon=0.2145, contrast=0.1714
2026-07-16 21:38:35 | training_carla_gru_best | INFO | Epoch 12: loss=1.5406, recon=0.1474, contrast=0.1331
2026-07-16 21:38:38 | training_carla_gru_best | INFO | Epoch 13: loss=1.4012, recon=0.1342, contrast=0.1179
2026-07-16 21:38:40 | training_carla_gru_best | INFO | Epoch 14: loss=1.3021, recon=0.1255, contrast=0.0937
2026-07-16 21:38:43 | training_carla_gru_best | INFO | Epoch 15: loss=1.1733, recon=0.1135, contrast=0.0757
2026-07-16 21:38:46 | training_carla_gru_best | INFO | Epoch 16: loss=1.0234, recon=0.0990, contrast=0.0665
2026-07-16 21:38:49 | training_carla_gru_best | INFO | Epoch 17: loss=0.8961, recon=0.0866, contrast=0.0595
2026-07-16 21:38:52 | training_carla_gru_best | INFO | Epoch 18: loss=0.8229, recon=0.0795, contrast=0.0549
2026-07-16 21:38:54 | training_carla_gru_best | INFO | Epoch 19: loss=0.7855, recon=0.0760, contrast=0.0502
2026-07-16 21:38:57 | training_carla_gru_best | INFO | Epoch 20: loss=0.8308, recon=0.0809, contrast=0.0434
2026-07-16 21:39:00 | training_carla_gru_best | INFO | Epoch 21: loss=0.7736, recon=0.0751, contrast=0.0446
2026-07-16 21:39:03 | training_carla_gru_best | INFO | Epoch 22: loss=0.8915, recon=0.0872, contrast=0.0393
2026-07-16 21:39:05 | training_carla_gru_best | INFO | Epoch 23: loss=0.8790, recon=0.0863, contrast=0.0328
2026-07-16 21:39:08 | training_carla_gru_best | INFO | Epoch 24: loss=0.7614, recon=0.0744, contrast=0.0354
2026-07-16 21:39:11 | training_carla_gru_best | INFO | Epoch 25: loss=0.7072, recon=0.0691, contrast=0.0320
2026-07-16 21:39:13 | training_carla_gru_best | INFO | Epoch 26: loss=0.6802, recon=0.0665, contrast=0.0298
2026-07-16 21:39:16 | training_carla_gru_best | INFO | Epoch 27: loss=0.6719, recon=0.0659, contrast=0.0264
2026-07-16 21:39:19 | training_carla_gru_best | INFO | Epoch 28: loss=0.6661, recon=0.0652, contrast=0.0285
2026-07-16 21:39:22 | training_carla_gru_best | INFO | Epoch 29: loss=0.6601, recon=0.0648, contrast=0.0237
2026-07-16 21:39:24 | training_carla_gru_best | INFO | Epoch 30: loss=0.6557, recon=0.0644, contrast=0.0241
2026-07-16 21:39:28 | training_carla_gru_best | INFO | Epoch 31: loss=0.6480, recon=0.0637, contrast=0.0214
2026-07-16 21:39:30 | training_carla_gru_best | INFO | Epoch 32: loss=0.6393, recon=0.0630, contrast=0.0191
2026-07-16 21:39:33 | training_carla_gru_best | INFO | Epoch 33: loss=0.6847, recon=0.0674, contrast=0.0206
2026-07-16 21:39:36 | training_carla_gru_best | INFO | Epoch 34: loss=0.6678, recon=0.0660, contrast=0.0151
2026-07-16 21:39:38 | training_carla_gru_best | INFO | Epoch 35: loss=0.7791, recon=0.0770, contrast=0.0180
2026-07-16 21:39:41 | training_carla_gru_best | INFO | Epoch 36: loss=0.6802, recon=0.0672, contrast=0.0160
2026-07-16 21:39:44 | training_carla_gru_best | INFO | Epoch 37: loss=0.6823, recon=0.0675, contrast=0.0143
2026-07-16 21:39:46 | training_carla_gru_best | INFO | Epoch 38: loss=0.6324, recon=0.0625, contrast=0.0144
2026-07-16 21:39:50 | training_carla_gru_best | INFO | Epoch 39: loss=0.6108, recon=0.0603, contrast=0.0159
2026-07-16 21:39:52 | training_carla_gru_best | INFO | Epoch 40: loss=0.6289, recon=0.0622, contrast=0.0130
2026-07-16 21:39:55 | training_carla_gru_best | INFO | Epoch 41: loss=0.6193, recon=0.0613, contrast=0.0129
2026-07-16 21:39:57 | training_carla_gru_best | INFO | Epoch 42: loss=0.6105, recon=0.0604, contrast=0.0124
2026-07-16 21:40:00 | training_carla_gru_best | INFO | Epoch 43: loss=0.6661, recon=0.0661, contrast=0.0096
2026-07-16 21:40:02 | training_carla_gru_best | INFO | Epoch 44: loss=0.6545, recon=0.0649, contrast=0.0113
2026-07-16 21:40:05 | training_carla_gru_best | INFO | Epoch 45: loss=0.6045, recon=0.0599, contrast=0.0103
