2026-07-17 12:19:42 | training_carla_mlp_best | INFO | Epoch 1: loss=9.4663, recon=0.9465, contrast=0.0016
2026-07-17 12:19:44 | training_carla_mlp_best | INFO | Epoch 2: loss=3.5369, recon=0.3537, contrast=0.0002
2026-07-17 12:19:45 | training_carla_mlp_best | INFO | Epoch 3: loss=1.4912, recon=0.1491, contrast=0.0001
2026-07-17 12:19:46 | training_carla_mlp_best | INFO | Epoch 4: loss=0.6828, recon=0.0683, contrast=0.0000
2026-07-17 12:19:48 | training_carla_mlp_best | INFO | Epoch 5: loss=0.3321, recon=0.0332, contrast=0.0000
2026-07-17 12:19:49 | training_carla_mlp_best | INFO | Epoch 6: loss=0.1789, recon=0.0179, contrast=0.0000
2026-07-17 12:19:51 | training_carla_mlp_best | INFO | Epoch 7: loss=0.1073, recon=0.0107, contrast=0.0000
2026-07-17 12:19:53 | training_carla_mlp_best | INFO | Epoch 8: loss=0.0803, recon=0.0080, contrast=0.0000
2026-07-17 12:19:54 | training_carla_mlp_best | INFO | Epoch 9: loss=0.0597, recon=0.0060, contrast=0.0000
2026-07-17 12:19:56 | training_carla_mlp_best | INFO | Epoch 10: loss=0.0479, recon=0.0048, contrast=0.0000
2026-07-17 12:19:58 | training_carla_mlp_best | INFO | Epoch 11: loss=0.0404, recon=0.0040, contrast=0.0000
2026-07-17 12:19:59 | training_carla_mlp_best | INFO | Epoch 12: loss=0.0385, recon=0.0038, contrast=0.0000
2026-07-17 12:20:01 | training_carla_mlp_best | INFO | Epoch 13: loss=0.0366, recon=0.0037, contrast=0.0000
2026-07-17 12:20:02 | training_carla_mlp_best | INFO | Epoch 14: loss=0.0353, recon=0.0035, contrast=0.0000
2026-07-17 12:20:04 | training_carla_mlp_best | INFO | Epoch 15: loss=0.0313, recon=0.0031, contrast=0.0000
2026-07-17 12:20:05 | training_carla_mlp_best | INFO | Epoch 16: loss=0.0294, recon=0.0029, contrast=0.0000
2026-07-17 12:20:07 | training_carla_mlp_best | INFO | Epoch 17: loss=0.0288, recon=0.0029, contrast=0.0000
2026-07-17 12:20:08 | training_carla_mlp_best | INFO | Epoch 18: loss=0.0266, recon=0.0027, contrast=0.0000
2026-07-17 12:20:10 | training_carla_mlp_best | INFO | Epoch 19: loss=0.0238, recon=0.0024, contrast=0.0000
2026-07-17 12:20:12 | training_carla_mlp_best | INFO | Epoch 20: loss=0.0231, recon=0.0023, contrast=0.0000
2026-07-17 12:20:13 | training_carla_mlp_best | INFO | Epoch 21: loss=0.0269, recon=0.0027, contrast=0.0000
2026-07-17 12:20:15 | training_carla_mlp_best | INFO | Epoch 22: loss=0.0231, recon=0.0023, contrast=0.0000
2026-07-17 12:20:16 | training_carla_mlp_best | INFO | Epoch 23: loss=0.0190, recon=0.0019, contrast=0.0000
2026-07-17 12:20:17 | training_carla_mlp_best | INFO | Epoch 24: loss=0.0199, recon=0.0020, contrast=0.0000
2026-07-17 12:20:19 | training_carla_mlp_best | INFO | Epoch 25: loss=0.0205, recon=0.0020, contrast=0.0000
2026-07-17 12:20:20 | training_carla_mlp_best | INFO | Epoch 26: loss=0.0221, recon=0.0022, contrast=0.0000
2026-07-17 12:20:22 | training_carla_mlp_best | INFO | Epoch 27: loss=0.0188, recon=0.0019, contrast=0.0000
2026-07-17 12:20:23 | training_carla_mlp_best | INFO | Epoch 28: loss=0.0189, recon=0.0019, contrast=0.0000
2026-07-17 12:20:25 | training_carla_mlp_best | INFO | Epoch 29: loss=0.0188, recon=0.0019, contrast=0.0000
2026-07-17 12:20:26 | training_carla_mlp_best | INFO | Epoch 30: loss=0.0180, recon=0.0018, contrast=0.0000
2026-07-17 12:20:28 | training_carla_mlp_best | INFO | Epoch 31: loss=0.0173, recon=0.0017, contrast=0.0000
2026-07-17 12:20:30 | training_carla_mlp_best | INFO | Epoch 32: loss=0.0154, recon=0.0015, contrast=0.0000
2026-07-17 12:20:31 | training_carla_mlp_best | INFO | Epoch 33: loss=0.0158, recon=0.0016, contrast=0.0000
2026-07-17 12:20:33 | training_carla_mlp_best | INFO | Epoch 34: loss=0.0166, recon=0.0017, contrast=0.0000
2026-07-17 12:20:34 | training_carla_mlp_best | INFO | Epoch 35: loss=0.0145, recon=0.0015, contrast=0.0000
2026-07-17 12:20:36 | training_carla_mlp_best | INFO | Epoch 36: loss=0.0143, recon=0.0014, contrast=0.0000
2026-07-17 12:20:37 | training_carla_mlp_best | INFO | Epoch 37: loss=0.0135, recon=0.0013, contrast=0.0000
2026-07-17 12:20:39 | training_carla_mlp_best | INFO | Epoch 38: loss=0.0152, recon=0.0015, contrast=0.0000
2026-07-17 12:20:40 | training_carla_mlp_best | INFO | Epoch 39: loss=0.0115, recon=0.0011, contrast=0.0000
2026-07-17 12:20:42 | training_carla_mlp_best | INFO | Epoch 40: loss=0.0143, recon=0.0014, contrast=0.0000
2026-07-17 12:20:43 | training_carla_mlp_best | INFO | Epoch 41: loss=0.0135, recon=0.0014, contrast=0.0000
2026-07-17 12:20:45 | training_carla_mlp_best | INFO | Epoch 42: loss=0.0126, recon=0.0013, contrast=0.0000
2026-07-17 12:20:46 | training_carla_mlp_best | INFO | Epoch 43: loss=0.0133, recon=0.0013, contrast=0.0000
2026-07-17 12:20:47 | training_carla_mlp_best | INFO | Epoch 44: loss=0.0124, recon=0.0012, contrast=0.0000
2026-07-17 12:20:49 | training_carla_mlp_best | INFO | Epoch 45: loss=0.0129, recon=0.0013, contrast=0.0000
2026-07-17 12:20:50 | training_carla_mlp_best | INFO | Epoch 46: loss=0.0131, recon=0.0013, contrast=0.0000
2026-07-17 12:20:52 | training_carla_mlp_best | INFO | Epoch 47: loss=0.0101, recon=0.0010, contrast=0.0000
2026-07-17 12:20:53 | training_carla_mlp_best | INFO | Epoch 48: loss=0.0131, recon=0.0013, contrast=0.0000
2026-07-17 12:20:54 | training_carla_mlp_best | INFO | Epoch 49: loss=0.0118, recon=0.0012, contrast=0.0000
2026-07-17 12:20:56 | training_carla_mlp_best | INFO | Epoch 50: loss=0.0110, recon=0.0011, contrast=0.0000
2026-07-17 12:20:58 | training_carla_mlp_best | INFO | Epoch 51: loss=0.0111, recon=0.0011, contrast=0.0000
2026-07-17 12:20:59 | training_carla_mlp_best | INFO | Epoch 52: loss=0.0125, recon=0.0013, contrast=0.0000
2026-07-17 12:21:01 | training_carla_mlp_best | INFO | Epoch 53: loss=0.0134, recon=0.0013, contrast=0.0000
2026-07-17 12:21:03 | training_carla_mlp_best | INFO | Epoch 54: loss=0.0114, recon=0.0011, contrast=0.0000
2026-07-17 12:21:04 | training_carla_mlp_best | INFO | Epoch 55: loss=0.0109, recon=0.0011, contrast=0.0000
2026-07-17 12:21:06 | training_carla_mlp_best | INFO | Epoch 56: loss=0.0103, recon=0.0010, contrast=0.0000
2026-07-17 12:21:07 | training_carla_mlp_best | INFO | Epoch 57: loss=0.0107, recon=0.0011, contrast=0.0000
2026-07-17 12:21:09 | training_carla_mlp_best | INFO | Epoch 58: loss=0.0102, recon=0.0010, contrast=0.0000
2026-07-17 12:21:10 | training_carla_mlp_best | INFO | Epoch 59: loss=0.0117, recon=0.0012, contrast=0.0000
2026-07-17 12:21:12 | training_carla_mlp_best | INFO | Epoch 60: loss=0.0118, recon=0.0012, contrast=0.0000
2026-07-17 12:21:13 | training_carla_mlp_best | INFO | Epoch 61: loss=0.0107, recon=0.0011, contrast=0.0000
2026-07-17 12:21:15 | training_carla_mlp_best | INFO | Epoch 62: loss=0.0103, recon=0.0010, contrast=0.0000
2026-07-17 12:21:17 | training_carla_mlp_best | INFO | Epoch 63: loss=0.0089, recon=0.0009, contrast=0.0000
2026-07-17 12:21:18 | training_carla_mlp_best | INFO | Epoch 64: loss=0.0105, recon=0.0010, contrast=0.0000
2026-07-17 12:21:19 | training_carla_mlp_best | INFO | Epoch 65: loss=0.0098, recon=0.0010, contrast=0.0000
2026-07-17 12:21:20 | training_carla_mlp_best | INFO | Epoch 66: loss=0.0087, recon=0.0009, contrast=0.0000
2026-07-17 12:21:22 | training_carla_mlp_best | INFO | Epoch 67: loss=0.0078, recon=0.0008, contrast=0.0000
2026-07-17 12:21:23 | training_carla_mlp_best | INFO | Epoch 68: loss=0.0096, recon=0.0010, contrast=0.0000
2026-07-17 12:21:24 | training_carla_mlp_best | INFO | Epoch 69: loss=0.0091, recon=0.0009, contrast=0.0000
2026-07-17 12:21:26 | training_carla_mlp_best | INFO | Epoch 70: loss=0.0083, recon=0.0008, contrast=0.0000
2026-07-17 12:21:27 | training_carla_mlp_best | INFO | Epoch 71: loss=0.0083, recon=0.0008, contrast=0.0000
2026-07-17 12:21:29 | training_carla_mlp_best | INFO | Epoch 72: loss=0.0083, recon=0.0008, contrast=0.0000
2026-07-17 12:21:31 | training_carla_mlp_best | INFO | Epoch 73: loss=0.0093, recon=0.0009, contrast=0.0000
2026-07-17 12:21:32 | training_carla_mlp_best | INFO | Epoch 74: loss=0.0096, recon=0.0010, contrast=0.0000
2026-07-17 12:21:34 | training_carla_mlp_best | INFO | Epoch 75: loss=0.0082, recon=0.0008, contrast=0.0000
2026-07-17 12:21:35 | training_carla_mlp_best | INFO | Epoch 76: loss=0.0079, recon=0.0008, contrast=0.0000
2026-07-17 12:21:37 | training_carla_mlp_best | INFO | Epoch 77: loss=0.0087, recon=0.0009, contrast=0.0000
2026-07-17 12:21:38 | training_carla_mlp_best | INFO | Epoch 78: loss=0.0111, recon=0.0011, contrast=0.0000
2026-07-17 12:21:40 | training_carla_mlp_best | INFO | Epoch 79: loss=0.0082, recon=0.0008, contrast=0.0000
2026-07-17 12:21:41 | training_carla_mlp_best | INFO | Epoch 80: loss=0.0083, recon=0.0008, contrast=0.0000
2026-07-17 12:21:42 | training_carla_mlp_best | INFO | Epoch 81: loss=0.0095, recon=0.0010, contrast=0.0000
2026-07-17 12:21:44 | training_carla_mlp_best | INFO | Epoch 82: loss=0.0078, recon=0.0008, contrast=0.0000
2026-07-17 12:21:45 | training_carla_mlp_best | INFO | Epoch 83: loss=0.0075, recon=0.0007, contrast=0.0000
2026-07-17 12:21:47 | training_carla_mlp_best | INFO | Epoch 84: loss=0.0079, recon=0.0008, contrast=0.0000
2026-07-17 12:21:48 | training_carla_mlp_best | INFO | Epoch 85: loss=0.0074, recon=0.0007, contrast=0.0000
2026-07-17 12:21:50 | training_carla_mlp_best | INFO | Epoch 86: loss=0.0103, recon=0.0010, contrast=0.0000
2026-07-17 12:21:50 | training_carla_mlp_best | INFO | Epoch 87: loss=0.0085, recon=0.0008, contrast=0.0000
2026-07-17 12:21:52 | training_carla_mlp_best | INFO | Epoch 88: loss=0.0081, recon=0.0008, contrast=0.0000
2026-07-17 12:21:53 | training_carla_mlp_best | INFO | Epoch 89: loss=0.0075, recon=0.0007, contrast=0.0000
2026-07-17 12:21:55 | training_carla_mlp_best | INFO | Epoch 90: loss=0.0090, recon=0.0009, contrast=0.0000
2026-07-17 12:21:56 | training_carla_mlp_best | INFO | Epoch 91: loss=0.0085, recon=0.0008, contrast=0.0000
2026-07-17 12:21:58 | training_carla_mlp_best | INFO | Epoch 92: loss=0.0093, recon=0.0009, contrast=0.0000
2026-07-17 12:21:59 | training_carla_mlp_best | INFO | Epoch 93: loss=0.0101, recon=0.0010, contrast=0.0000
2026-07-17 12:22:01 | training_carla_mlp_best | INFO | Epoch 94: loss=0.0074, recon=0.0007, contrast=0.0000
2026-07-17 12:22:02 | training_carla_mlp_best | INFO | Epoch 95: loss=0.0080, recon=0.0008, contrast=0.0000
2026-07-17 12:22:04 | training_carla_mlp_best | INFO | Epoch 96: loss=0.0096, recon=0.0010, contrast=0.0000
2026-07-17 12:22:05 | training_carla_mlp_best | INFO | Epoch 97: loss=0.0095, recon=0.0010, contrast=0.0000
2026-07-17 12:22:07 | training_carla_mlp_best | INFO | Epoch 98: loss=0.0075, recon=0.0007, contrast=0.0000
2026-07-17 12:22:08 | training_carla_mlp_best | INFO | Epoch 99: loss=0.0080, recon=0.0008, contrast=0.0000
2026-07-17 12:22:10 | training_carla_mlp_best | INFO | Epoch 100: loss=0.0084, recon=0.0008, contrast=0.0000
