2026-07-19 20:11:29 | training_carla_transformer_best | INFO | Epoch 1: loss=7.4431, recon=0.3694, contrast=0.0544
2026-07-19 20:11:35 | training_carla_transformer_best | INFO | Epoch 2: loss=1.1261, recon=0.0562, contrast=0.0026
2026-07-19 20:11:42 | training_carla_transformer_best | INFO | Epoch 3: loss=1.1173, recon=0.0558, contrast=0.0015
2026-07-19 20:11:48 | training_carla_transformer_best | INFO | Epoch 4: loss=1.1130, recon=0.0556, contrast=0.0009
2026-07-19 20:11:54 | training_carla_transformer_best | INFO | Epoch 5: loss=1.1139, recon=0.0557, contrast=0.0006
2026-07-19 20:11:58 | training_carla_transformer_best | INFO | Epoch 6: loss=1.1075, recon=0.0553, contrast=0.0007
2026-07-19 20:12:04 | training_carla_transformer_best | INFO | Epoch 7: loss=1.0929, recon=0.0546, contrast=0.0009
2026-07-19 20:12:10 | training_carla_transformer_best | INFO | Epoch 8: loss=0.9565, recon=0.0477, contrast=0.0033
2026-07-19 20:12:17 | training_carla_transformer_best | INFO | Epoch 9: loss=0.1922, recon=0.0095, contrast=0.0013
2026-07-19 20:12:23 | training_carla_transformer_best | INFO | Epoch 10: loss=0.0940, recon=0.0047, contrast=0.0002
2026-07-19 20:12:28 | training_carla_transformer_best | INFO | Epoch 11: loss=0.0693, recon=0.0035, contrast=0.0003
2026-07-19 20:12:35 | training_carla_transformer_best | INFO | Epoch 12: loss=0.0502, recon=0.0025, contrast=0.0002
2026-07-19 20:12:42 | training_carla_transformer_best | INFO | Epoch 13: loss=0.0382, recon=0.0019, contrast=0.0002
2026-07-19 20:12:49 | training_carla_transformer_best | INFO | Epoch 14: loss=0.0327, recon=0.0016, contrast=0.0002
2026-07-19 20:12:55 | training_carla_transformer_best | INFO | Epoch 15: loss=0.0294, recon=0.0015, contrast=0.0001
2026-07-19 20:12:59 | training_carla_transformer_best | INFO | Epoch 16: loss=0.0261, recon=0.0013, contrast=0.0002
2026-07-19 20:13:06 | training_carla_transformer_best | INFO | Epoch 17: loss=0.0219, recon=0.0011, contrast=0.0002
2026-07-19 20:13:12 | training_carla_transformer_best | INFO | Epoch 18: loss=0.0167, recon=0.0008, contrast=0.0002
2026-07-19 20:13:19 | training_carla_transformer_best | INFO | Epoch 19: loss=0.0113, recon=0.0006, contrast=0.0003
2026-07-19 20:13:25 | training_carla_transformer_best | INFO | Epoch 20: loss=0.0078, recon=0.0004, contrast=0.0002
2026-07-19 20:13:29 | training_carla_transformer_best | INFO | Epoch 21: loss=0.0051, recon=0.0002, contrast=0.0002
2026-07-19 20:13:35 | training_carla_transformer_best | INFO | Epoch 22: loss=0.0037, recon=0.0002, contrast=0.0001
2026-07-19 20:13:40 | training_carla_transformer_best | INFO | Epoch 23: loss=0.0030, recon=0.0001, contrast=0.0001
2026-07-19 20:13:46 | training_carla_transformer_best | INFO | Epoch 24: loss=0.0025, recon=0.0001, contrast=0.0001
2026-07-19 20:13:52 | training_carla_transformer_best | INFO | Epoch 25: loss=0.0023, recon=0.0001, contrast=0.0001
2026-07-19 20:13:59 | training_carla_transformer_best | INFO | Epoch 26: loss=0.0020, recon=0.0001, contrast=0.0001
2026-07-19 20:14:03 | training_carla_transformer_best | INFO | Epoch 27: loss=0.0019, recon=0.0001, contrast=0.0001
2026-07-19 20:14:10 | training_carla_transformer_best | INFO | Epoch 28: loss=0.0017, recon=0.0001, contrast=0.0001
2026-07-19 20:14:17 | training_carla_transformer_best | INFO | Epoch 29: loss=0.0015, recon=0.0001, contrast=0.0001
2026-07-19 20:14:24 | training_carla_transformer_best | INFO | Epoch 30: loss=0.0015, recon=0.0001, contrast=0.0000
2026-07-19 20:14:30 | training_carla_transformer_best | INFO | Epoch 31: loss=0.0014, recon=0.0001, contrast=0.0000
2026-07-19 20:14:35 | training_carla_transformer_best | INFO | Epoch 32: loss=0.0013, recon=0.0001, contrast=0.0000
2026-07-19 20:14:42 | training_carla_transformer_best | INFO | Epoch 33: loss=0.0014, recon=0.0001, contrast=0.0000
2026-07-19 20:14:48 | training_carla_transformer_best | INFO | Epoch 34: loss=0.0014, recon=0.0001, contrast=0.0000
2026-07-19 20:14:54 | training_carla_transformer_best | INFO | Epoch 35: loss=0.0013, recon=0.0001, contrast=0.0000
2026-07-19 20:15:00 | training_carla_transformer_best | INFO | Epoch 36: loss=0.0011, recon=0.0001, contrast=0.0000
2026-07-19 20:15:05 | training_carla_transformer_best | INFO | Epoch 37: loss=0.0010, recon=0.0001, contrast=0.0000
2026-07-19 20:15:11 | training_carla_transformer_best | INFO | Epoch 38: loss=0.0011, recon=0.0001, contrast=0.0000
2026-07-19 20:15:18 | training_carla_transformer_best | INFO | Epoch 39: loss=0.0010, recon=0.0000, contrast=0.0000
